SEQ,Year,Region,Nights,Date,From,To,Itinerary,Cruise Line,Ship,Retail In,RetailOut,RetailBalc,RetailSuite,Inside,Oceanview,Balcony,Suite,Shipmap,Cruise Offer URL,User ID,Tick if Promo applies: (label),Tick if Promo applies:,Promo Description,DisplayPromoFrom,DisplayPromoUntil,,,,,,,,
27967,2025,Alaska,7,28-Jun-25,Vancouver,Anchorage (Whittier),"Vancouver, British Columbia | Ketchikan, Alaska | Juneau, Alaska | Skagway, Alaska | Glacier Bay, Alaska | College Fjord, Alaska | Whittier, Alaska",Princess,Sapphire Princess,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/YVR_KTN_JNU_SGY_GBNP_CLF_ANC.jpg,https://www.princess.com/cruise-search/details/?voyageCode=H524,,,,,,,,,,,,,,
28103,2025,Alaska,14,28-Jun-25,Vancouver,Vancouver,"Vancouver, British Columbia | Ketchikan, Alaska | Juneau, Alaska | Skagway, Alaska | Glacier Bay, Alaska | College Fjord, Alaska | Whittier, Alaska | Hubbard Glacier, Alaska",Princess,Sapphire Princess,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/YVR_KTN_JNU_SGY_CLF_ANC_GBNP_SGY_JNU_KTN_YVR.jpg,https://www.princess.com/cruise-search/details/?voyageCode=H510A,,,,,,,,,,,,,,
11327,2025,Northern Europe,28,29-Jun-25,Rotterdam,Rotterdam,Rotterdam | Andalsnes | Trondheim | Honningsvag (North Cape) | Hammerfest | Alta | Akureyri | Isafjord | Nanortalik | Jakobshavn | Nuuk | Reykjavik | Runavik | Lerwick | Dover (London) | Rotterdam,Holland America,Nieuw Statendam,,,,,Quote Available,Quote Available,Quote Available,Quote Available,,,,,,,,,,,,,,,,
11559,2025,Northern Europe,42,29-Jun-25,Rotterdam,Rotterdam,Rotterdam | Andalsnes | Trondheim | Honningsvag (North Cape) | Hammerfest | Alta | Akureyri | Isafjord | Nanortalik | Jakobshavn | Nuuk | Reykjavik | Runavik | Lerwick | Dover (London) | Stornoway | Killybegs Ireland | Galway | Cobh (Cork) | Douglas | Liverpool | Portree | Invergordon | Rotterdam,Holland America,Nieuw Statendam,,,,,Quote Available,Quote Available,Quote Available,Quote Available,,,,,,,,,,,,,,,,
13291,2025,Northern Europe,7,29-Jun-25,Warnemunde,Warnemunde,"Warnemunde, Germany | Gdynia, Poland | Ronne, Denmark | Visby, Sweden | Stockholm, Sweden | Copenhagen, Denmark",MSC,MSC Poesia,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/ZWD_RON_GDY_VBY_STO_CPH_ZWD.jpg,https://www.msccruisesusa.com/itinerary-details/7-nights-northern-europe?cruiseid=PO20250629WARWAR,,,,,,,,,,,,,,
15073,2025,Mediterranean,7,29-Jun-25,Venice,Venice,"Venice, Italy | Brindisi, Italy | Mykonos, Greece | Piraeus (Athens), Greece | Split, Croatia",MSC,MSC Armonia,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/VCE_BDS_JMK_PIRS_SPU_VCE.jpg,https://www.msccruises.com/int/search-Result?passengers=2%7C0%7C0%7C0&departureDateFrom=20%2F04%2F2025&departureDateTo=29%2F06%2F2025&page=1&nights=6%2C7&ships=AX&embkPort=VCE#,,,,,,,,,,,,,,
15787,2025,Mediterranean,14,29-Jun-25,Rome (Civitavecchia),Lisbon,Rome (Civitavecchia) | Naples | Taormina | Piraeus (Athens) | Katakolon (Olympia) | Valletta | La Goulette | Cagliari | Cartagena | Tangier | Lisbon,Holland America,Oosterdam,,,,,Quote Available,Quote Available,Quote Available,Quote Available,,,,,,,,,,,,,,,,
24736,2025,Mediterranean,7,29-Jun-25,Venice,Venice,"Venice, Italy | Corfu, Greece | Dubrovnik, Croatia | Kotor, Montenegro | Bari, Italy | Zadar, Croatia",MSC,MSC Opera,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/VCE_CFU_DBV_KOTO_BRI_ZAD_VCE.jpg,https://www.msccruisesusa.com/itinerary-details/7-nights-mediterranean?cruiseid=OX20250511VCEVCE,,,,,,,,,,,,,,
25515,2025,Alaska,7,29-Jun-25,Vancouver,Anchorage (Whittier),Vancouver | Ketchikan | Juneau | Skagway | Glacier Bay | Anchorage (Whittier),Holland America,Nieuw Amsterdam,,,,,"$	2,283.95",Quote Available,Quote Available,Quote Available,https://www.hollandamerica.com/content/dam/hal/maps/A5N07A/A5N07A_mobile_2x.jpg,https://www.hollandamerica.com/en/find-a-cruise/a5n07a/i552,,,,,,,,,,,,,,
26638,2025,Alaska,7,29-Jun-25,Anchorage (Whittier),Vancouver,Anchorage (Whittier) | Glacier Bay | Skagway | Juneau | Ketchikan | Vancouver,Holland America,Noordam,,,,,Quote Available,Quote Available,Quote Available,Quote Available,,,,,,,,,,,,,,,,
26837,2025,Alaska,7,29-Jun-25,Vancouver,Vancouver,"Vancouver, British Columbia | Inside Passage, Alaska | Icy Strait, Alaska | Hubbard Glacier, Alaska | Juneau, Alaska | Ketchikan, Alaska",Celebrity,Celebrity Solstice,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/YVR_ISPS_JU_KT_YVR.jpg,www.celebritycruises.com/itinerary-details/7-night-alaska-hubbard-glacier-cruise-from-vancouver-british-columbia?groupId=SL07YVR-248500797&packageID=SL07A385&sDT=2025-05-04&cCD=CO,,,,,,,,,,,,,,
