SEQ,Year,Region,Nights,Date,From,To,Itinerary,Cruise Line,Ship,Sale,RetailOut,RetailBalc,RetailSuite,Inside,Oceanview,Balcony,Suite,Shipmap,Cruise Offer URL,User ID,Tick if Promo applies: (label),Tick if Promo applies:,Promo Description,DisplayPromoFrom,DisplayPromoUntil,Timestamp,Last Updated,Created By,Updated By,Entry Status,IP,ID,Key
86254,2025,Europe,7,07-Jul-25,"Budapest, Hungary","Vilshofen, Germany",Melodies of the Danube 2025 ,AmaWaterways,AmaBella,29-Mar-25,,,,"$3,440.00","$4,040.00","$4,640.00",Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/melodiesofthedanube_bud_vil_map_2020.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/melodies-of-the-danube,,,,,,,,,,,,,,
86252,2025,Europe,14,07-Jul-25,"Geneva, Switzerland","Nice, France",Essence of Burgundy & Provence 2025 (Wine Cruise),AmaWaterways,AmaCello,29-Mar-25,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2025_Essence%20of%20Burgundy_CL-GN.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/essence-of-burgundy-provence-wine-cruise#reverse-direction_1,,,,,,,,,,,,,,
86256,2025,Europe,7,07-Jul-25,"Basel, Switzerland","Amsterdam, Netherlands",Swiss Alps & Rhine Castles (Basel to Amsterdam),AmaWaterways,AmaSerena,29-Mar-25,,,,"$3,440.00","$4,040.00","$4,640.00",Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2025_Swiss%20Alps%20&%20Rhine%20Castles_CO.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/swiss-alps-rhine-castles/itinerary,,,,,,,,,,,,,,
86255,2025,Europe,7,07-Jul-25,"Amsterdam, Netherlands","Basel, Switzerland",Rhine Castles & Swiss Alps 2025 ,AmaWaterways,AmaVenita,29-Mar-25,,,,"$3,440.00","$4,040.00",Quote Available,Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2025_Rhine%20Castles%20&%20Swiss%20Alps_CO.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/rhine-castles-swiss-alps,,,,,,,,,,,,,,
86253,2025,Europe,7,07-Jul-25,"Budapest, Hungary","Giurgiu, Romania",Gems of Southeast Europe 2025 ,AmaWaterways,AmaVerde,29-Mar-25,,,,Quote Available,"$4,040.00",Quote Available,Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2025_Gems_of_SE_Eur_CO_BG.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/gems-of-southeast-europe,,,,,,,,,,,,,,
86257,2025,Europe,7,08-Jul-25,"Porto, Portugal","Porto, Portugal",Enticing Douro 2025 ,AmaWaterways,AmaDouro,30-Mar-25,,,,"$3,440.00","$4,040.00",Quote Available,Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2025_Enticing%20Douro_CO.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/enticing-douro,,,,,,,,,,,,,,
86258,2025,Europe,7,09-Jul-25,"Budapest, Hungary","Budapest, Hungary",Best of the Danube 2025 ,AmaWaterways,AmaReina,31-Mar-25,,,,Quote Available,"$4,040.00",Quote Available,Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2026-Celebration-of-music-cruise-only.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/best-of-the-danube/itinerary,,,,,,,,,,,,,,
86260,2025,Europe,7,09-Jul-25,"Nuremberg, Germany","Luxembourg, Luxembourg",Europe's Rivers & Castles 2025 ,AmaWaterways,AmaCerto,31-Mar-25,,,,"$3,440.00","$4,040.00","$4,640.00",Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2025_Eur%20Rivers&Castles_CO-NW.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/europe-rivers-castles,,,,,,,,,,,,,,
86259,2025,Europe,7,09-Jul-25,"Budapest, Hungary","Nuremberg, Germany",Blue Danube Discovery 2025 ,AmaWaterways,AmaSonata,31-Mar-25,,,,"$3,440.00","$4,040.00",Quote Available,Quote Available,https://www.amawaterways.au/destination/europe-river-cruises/2025/blue-danube-discovery/itinerary,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2025_Blue_Danube_Discovery_CO.jpg,,,,,,,,,,,,,,
86263,2025,Europe,7,10-Jul-25,"Dijon, France","Arles, France","Essence of Burgundy & Provence 2025 (Wine Cruise, Cruise Only)",AmaWaterways,AmaCello,1-Apr-25,,,,"$3,440.00","$4,040.00",Quote Available,Quote Available,https://www.amawaterways.au/Assets/Desktop/Cruises/MAP_2025_Essence%20of%20Burgundy_CO-DA.jpg,https://www.amawaterways.au/destination/europe-river-cruises/2025/essence-of-burgundy-provence-wine-cruise#reverse-direction_1,,,,,,,,,,,,,,
