SEQ,Year,Region,Nights,Date,From,To,Itinerary,Cruise Line,Ship,Retail In,RetailOut,RetailBalc,RetailSuite,Inside,Oceanview,Balcony,Suite,Shipmap,Cruise Offer URL,,,,,,,,,,,,,,
126,2025,Europe,8,10-Jul-25,Thessaloniki,Civitavecchia (Rome),Thessaloniki Greece | Porto Carras Greece | Mykonos Greece | Santorini Greece | Heraklion Greece | Lipari Island Italy | Naples Italy | Civitavecchia (Rome) Italy,Crystal,Crystal Symphony,,,,,"$3,340.00","$5,090.00","$6,290.00",Quote Available,https://crystalcruises.com/_next/image?url=https%3A%2F%2Fcdn.crystalcruises.com%2Fimages%2Fscp71evy%2Fproduction%2F6e6ef22a709ced4b5a8c1be05fa75ea6d900962b-1512x1200.png%3Fw%3D1200&w=1920&q=75,https://crystalcruises.com/cruises/none-csy-008-250710,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077583,fcgi6
26298,2025,Arctic,11,10-Jul-25,Reykjavik,Oslo,Reykjavik | Isafjordur | Akureyri | Siglufjordur | Alesund | Geiranger | Flam | Gudvangen | Bergen | Stavanger | Arendal | Oslo,Atlas,World Traveller,,,,,"$6,879.00",Quote Available,Quote Available,Quote Available,https://atlasoceanvoyages.com/_next/image?url=https%3A%2F%2Fd1phntfht1ipwy.cloudfront.net%2Fcontent%2Fuploads%2F2025%2F02%2F20250710-Reykjavik-Oslo-11NIGHTS-WTR.png&w=2048&q=75&dpl=dpl_3z8ga4ZLhR5CyVqbfgFezPZtC5Co,https://atlasoceanvoyages.com/destination/11-night-reykjavik-to-oslo-7-10-25,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077585,gd7zw
27184,2025,Repositioning,14,10-Jul-25,Honolulu,Papeete,Honolulu (Oahu) | Kahului (Maui) | Nawiliwili (Kauai) | Kailua Kona | Hilo | Bora Bora | Raiatea | Moorea | Papeete,Norwegian,Norwegian Sun,,,,,"$3,015.59","$4,346.23",Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/HNL_OGG_HPV_KOA_HIL_BOB_RPF_MOZ_PPT.jpg,https://www.ncl.com/in/en/cruises/14-day-south-pacific-from-honolulu-to-papeete-kauai-kona-and-maui?itineraryCode=SUN14HNLOGGNWKKOAITOBRBRAIMOZPPT-101034,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077586,zbqj2
44476,2025,Europe,7,10-Jul-25,Rome,Rome,Civitavecchia (Rome) | Naples | Barcelona | Palma De Mallorca | La Spezia | Civitavecchia (Rome),Royal Caribbean,Allure of the Seas,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/CVV_AP_BC_PMI_PSA_CVV.jpg,https://www.royalcaribbean.com/booking/landing?shipCode=AL&packageCode=AL7IP115&sailDate=2025-07-10&startDate=2025-07-10&groupId=AL07ROM-498398715&selectedCurrencyCode=USD,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077587,mm2p9
49808,2025,Caribbean,3,10-Jul-25,Miami,Miami,"Miami, Florida | Nassau, Bahamas | Ocean Cay, Bahamas",MSC,MSC Seascape,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/MIA_NAS_OCC_MIA.jpg,https://www.msccruisesusa.com/itinerary-details/3-nights-the-bahamas?cruiseid=SC20250710MIAMIA,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077588,r3y1m
18597,2025,Alaska,7,10-Jul-25,Vancouver,Anchorage (Seward),Vancouver  | Cruising The Inside Passage  | Ketchikan  | Juneau  | Skagway  | Sitka  | Cruise Hubbard Glacier  | Seward,Silversea,Silver Moon,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/YVR_KTN_JNU_SGY_SIT_SWD.jpg,https://www.silversea.com/destinations/alaska-cruise/vancouver-to-seward-anchorage-alaska-mo250710007.html,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077589,tjzz0
10501,2025,Alaska,7,10-Jul-25,Anchorage (Seward),Vancouver,Seward  | Cruise Hubbard Glacier  | Juneau  | Haines  | Sitka  | Wrangell  | Cruising The Inside Passage  | Vancouver,Silversea,Silver Nova,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/SWD_JNU_HAI_SIT_WRG_YVR.jpg,https://www.silversea.com/destinations/alaska-cruise/seward-anchorage-alaska-to-vancouver-sn250710007.html,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077590,8lfqp
16406,2025,Northern Europe,12,10-Jul-25,Copenhagen,Hamburg,Copenhagen  | Day At Sea  | Stockholm  | Mariehamn  | Helsinki  | Tallinn  | Visby (Gotland)  | Riga  | Day At Sea  | Warnemunde (Rostock)  | Kiel Canal  | Hamburg,Silversea,Silver Shadow,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/CPH_STO_MHQ_HL_TLL_VBY_RIX_ZWD_HAM.jpg,https://www.silversea.com/destinations/northern-europe-british-isles-cruise/copenhagen-to-hamburg-ss250710012.html,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077591,v65jd
3029,2025,Australia,10,11-Jul-25,Broome,Darwin,The Classic Kimberley Cruise,Coral Expeditions,Geographer,,,,,"$15,119.00","$11,409.00",Quote Available,Quote Available,https://media.coralexpeditions.com/media/Coral-Expeditions_The-Kimberley-Cruise_Darwin_Broome_10-Nights-1536x895.png,https://www.coralexpeditions.com/au/destinations/the-kimberley/the-kimberley-cruise/?date=25-04#itinerary,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077592,phsdp
10214,2025,Arctic,9,11-Jul-25,Oslo,Oslo,Longyearbyen | Ny-Alesund | Svalbard | Longyearbyen,Atlas,World Voyager,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://atlasoceanvoyages.com/_next/image?url=https%3A%2F%2Fd1phntfht1ipwy.cloudfront.net%2Fcontent%2Fuploads%2F2025%2F02%2F20250711-Longyearbyen-Roundtrip-9N-WVO.png&w=2048&q=75&dpl=dpl_FAUBT7CfFxVsxhpFU68ciGp8zLLR,https://atlasoceanvoyages.com/destination/9-night-longyearbyen-roundtrip-7-11-25,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077593,mr0he
15368,2025,Mediterranean,7,11-Jul-25,Rome,Rome,Civitavecchia | Mykonos | Kusadasi | Santorini | Naples | Civitavecchia,MSC,MSC Divina,,,,,Quote Available,Quote Available,Quote Available,Quote Available,https://contents.odysol.com//content/images/Itineraries/CVV_JMK_KUSA_JTR_NAP_CVV.jpg,https://www.msccruises.com/int/search-Result?passengers=2%7C0%7C0%7C0&departureDateFrom=01%2F07%2F2025&departureDateTo=27%2F10%2F2025&page=1&ships=DI&nights=6%2C7&embkPort=CVV#,,,,,,,4/07/2025 6:23,4/07/2025 6:23,StephenWest,StephenWest,0,79.127.143.216,1077594,ci3hf
